"Role","iam-admin-group","edge-manager-group","edge-operator-group","service-admin-group","host-manager-group","<org-id>_Project-Manager-Group","<project-id>_Edge-Manager-Group","<project-id>_Edge-Onboarding-Group","<project-id>_Edge-Operator-Group","<project-id>_Host-Manager-Group","org-admin-group","sre-admin-group","sre-group"
"admin","X"," "," "," "," "," "," "," "," "," "," "," "," "
"alrt-r"," "," ","X"," "," "," "," "," "," "," "," ","X","X"
"alrt-rw"," ","X"," ","X"," "," "," "," "," "," "," "," "," "
"alrt-rx-rw"," "," "," ","X"," "," "," "," "," "," "," "," "," "
"app-deployment-manager-read-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"app-deployment-manager-write-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"app-resource-manager-read-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"app-resource-manager-write-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"app-service-proxy-read-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"app-service-proxy-write-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"app-vm-console-write-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"catalog-other-read-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"catalog-other-write-role"," ","X"," "," "," "," "," "," "," "," "," "," "," "
"catalog-publisher-read-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"catalog-publisher-write-role"," ","X"," "," "," "," "," "," "," "," "," "," "," "
"catalog-restricted-read-role"," ","X"," "," "," "," "," "," "," "," "," "," "," "
"catalog-restricted-write-role"," ","X"," "," "," "," "," "," "," "," "," "," "," "
"cluster-artifacts-read-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"cluster-artifacts-write-role"," ","X","X"," "," "," "," "," "," "," "," "," "," "
"cluster-templates-read-role"," ","X","X"," "," "," "," "," "," "," "," "," ","X"
"cluster-templates-write-role"," ","X"," "," "," "," "," "," "," "," "," "," "," "
"clusters-read-role"," ","X","X"," "," "," "," "," "," "," "," "," ","X"
"clusters-write-role"," ","X","X"," "," "," "," "," "," "," "," "," ","X"
"infra-manager-core-read-role"," ","X","X","X","X"," "," "," "," "," "," "," ","X"
"infra-manager-core-write-role"," "," "," ","X","X"," "," "," "," "," "," "," "," "
"org-delete-role"," "," "," "," "," "," "," "," "," "," ","X"," "," "
"org-read-role"," "," "," "," "," "," "," "," "," "," ","X"," "," "
"org-update-role"," "," "," "," "," "," "," "," "," "," ","X"," "," "
"org-write-role"," "," "," "," "," "," "," "," "," "," ","X"," "," "
"rs-access-r"," "," "," ","X"," "," "," ","X"," "," "," "," "," "
"secrets-root-role","X"," "," "," "," "," "," "," "," "," "," "," "," "
"account/manage-account"," "," "," "," "," "," ","X"," ","X","X"," "," "," "
"account/view-profile"," "," "," "," "," "," ","X"," ","X","X"," "," "," "
"<org-id>_<project-id>_m"," "," "," "," "," "," ","X"," ","X","X"," "," "," "
"<org-id>_project-delete-role"," "," "," "," "," ","X"," "," "," "," "," "," "," "
"<org-id>_project-read-role"," "," "," "," "," ","X"," "," "," "," "," "," "," "
"<org-id>_project-update-role"," "," "," "," "," ","X"," "," "," "," "," "," "," "
"<org-id>_project-write-role"," "," "," "," "," ","X"," "," "," "," "," "," "," "
"<project-id>_alrt-r"," "," "," "," "," "," "," "," ","X"," "," "," "," "
"<project-id>_alrt-rw"," "," "," "," "," "," ","X"," "," "," "," "," "," "
"<project-id>_ao-rw"," "," "," "," "," "," ","X"," ","X"," "," "," "," "
"<project-id>_cat-r"," "," "," "," "," "," "," "," ","X"," "," "," "," "
"<project-id>_cat-rw"," "," "," "," "," "," ","X"," "," "," "," "," "," "
"<project-id>_cl-r"," "," "," "," "," "," "," "," ","X"," "," "," "," "
"<project-id>_cl-rw"," "," "," "," "," "," ","X"," "," "," "," "," "," "
"<project-id>_cl-tpl-r"," "," "," "," "," "," "," "," ","X"," "," "," "," "
"<project-id>_cl-tpl-rw"," "," "," "," "," "," ","X"," "," "," "," "," "," "
"<project-id>_en-ob"," "," "," "," "," "," "," ","X"," ","X"," "," "," "
"<project-id>_im-r"," "," "," "," "," "," ","X"," ","X"," "," "," "," "
"<project-id>_im-rw"," "," "," "," "," "," "," "," "," ","X"," "," "," "
"<project-id>_reg-a"," "," "," "," "," "," ","X"," "," "," "," "," "," "
"<project-id>_reg-r"," "," "," "," "," "," ","X"," ","X"," "," "," "," "
"<project-id>_tc-r"," "," "," "," "," "," ","X"," ","X","X"," "," "," "
